"Моя подруга всегда принимает душ вечером, а я _ утром.","Моя подруга всегда принимает душ вечером, а я всегда принимаю душ утром."
"Я всем буду помогать, даже Пете _ буду _.","Я всем буду помогать, даже Пете я буду помагать."
"Я приправлю суп паприкой, а ты _ чёрным перцем.","Я приправлю суп паприкой, а ты приправишь суп чёрным перцем."
"Юрий живёт в Ярославле, а Дима _ в Москве.","Юрий живёт в Ярославле, а Дима живёт в Москве."
"Сегодня пойдём в бар, но мне ещё не сказали когда _.","Сегодня пойдём в бар, но мне ещё не сказали когда сегодня пойдём в бар."
"В зоопарке я люблю смотреть слонов, и мои сёстры тоже _.","В зоопарке я люблю смотреть слонов, и мои сёстры тоже в зоопарке любят смотреть слонов."
"Я чаще пью виски, чем он _ водку.","Я чаще пью виски, чем он пьёт водку."
"Я задал ему три вопроса, и ты тоже _.","Я задал ему три вопроса, и ты тоже задала ему три вопроса."
"Митя пил чай, а Надя _ кофе.","Митя пил чай, а Надя пила кофе."
"Мы купили ту книгу по математике после того, как он купил эту _.","Мы купили ту книгу по математике после того, как он купил эту книгу по математике."
"Дети с кем-то дрались, но мне не важно с кем _.","Дети с кем-то дрались, но мне не важно, с кем дрались дети."
"Я не умею танцевать, а мой брат _ плавать.","Я не умею танцевать, а мой брат не умеет плавать."
"Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько _.","Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько он вернет мою книгу сегодня."
"Мои родители живут в Новгороде, и сестра тоже _.","Мои родители живут в Новгороде, и сестра тоже живёт в Новгороде."
"Kирилл не позвал Любу в кино, и Bася тоже _.","Kирилл не позвал Любу в кино, и Bася тоже не позвал Любу в кино."
"Котята забавляются маленькими игрушками, а щенята _ большими _.","Котята забавляются маленькими игрушками, а щенята забавляются большими игрушками."
"Иван что-то купил, но я не помню, чтo _.","Иван что-то купил, но я не помню, что Иван купил."
"У него день рождения в июне, а у неё _ в октябре.","У него день рождения в июне, а у неё день рождения в октябре."
"Мы учимся языкам, а все наши друзья _ бизнесу.","Мы учимся языкам, а все наши друзья учатся бизнесу."
"Я хочу поехать за границу, но не знаю куда _.","Я хочу поехать за границу, но не знаю куда хочу поехать."
"Рубашка мне слишком велика, а брюки _ малы.","Рубашка мне слишком велика, а брюки мне слишком малы."
"Лучше потратить целый день, чем _ целую неделю.","Лучше потратить целый день, чем потратить целую неделю."
"Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже _.","Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже поедет в Санкт-Петербург."
"Мы поедем в парк на машине, а они _ на велосипеде.","Мы поедем в парк на машине, а они поедут в парк на велосипеде."
"Завтра я принесу лёд, а ты _ пиво.","Завтра я принесу лёд, а ты принесешь пиво."
"Она умерла в 1975, а её муж _ годом позже, в 1976.","Она умерла в 1975, а её муж умер годом позже, в 1976."
"Она считает его великолепным композитором, и он _ её _.","Она считает его великолепным композитором, и он считает её великолепным композитором."
"Она знает больше о своей стране, чем он _.","Она знает больше о своей стране, чем он знает о своей стране."
"Ольга хорошо говорит по-немецки, и Катя тоже _.","Ольга хорошо говорит по-немецки, и Катя тоже хорошо говорит по-немецки."
"Он хорошо готовит суп с мясом, а она _ без мяса.","Он хорошо готовит суп с мясом, а она хорошо готовит суп без мяса."
"Я всегда нерничаю, а мой отец _ никогда.","Я всегда нерничаю, а мой отец не нервничает никогда."
"Хотя мы хотели нарушить закон, мы не посмели _.","Хотя мы хотели нарушить закон, мы не посмели нарушить закон."
"Он всегда заказывает холодное блюдо, а она _ горячее _.","Он всегда заказывает холодное блюдо, а она всегда заказывает горячее блюдо."
"Жуков вёл свою аримию на Берлин с севера, а Конев _ с юга.","Жуков вёл свою аримию на Берлин с севера, а Конев вёл свою армию на Берлин с юга."
"Я читал историю про эльфов, а ты _ про гномов.","Я читал историю про эльфов, а ты читал историю про гномов."
Я должен Мише позвонить или ты _?,Я должен Мише позвонить или ты должен Мише позвонить?
"Митя где-то будет праздновать день рождения, но не знаю где _.","Митя где-то будет праздновать день рождения, но не знаю где Митя будет праздновать день рождения."
"Его убили, но не знаю почему _.","Его убили, но не знаю почему его убили."
"Она убила его, но чем, _ не знаем.","Она убила его, но чем она убила его, не знаем."
"Дина купила своей дочери школьные учебники, а Паша не купил _.","Дина купила своей дочери школьные учебники, а Паша не купил своей дочери школьные учебники."
"Они смеются, но непонятно над кем _.","Они смеются, но непонятно над кем они смеются."
"Марина увидела что-то странное, но я не знаю что _.","Марина увидела что-то странное, но я не знаю что Марина увидела."
"Моя мать хочет новый компьютер, но ещё не знает, какого бренда _.","Моя мать хочет новый компьютер, но моя мать ещё не знает, какого бренда компьютер она хочет."
"Она попросила Мишу остаться, и Вася тоже _.","Она попросила Мишу остаться, и Вася тоже попросил Мишу остаться."
"Фёдор часто знакомится с новыми людьми, а Лена _ редко.","Фёдор часто знакомится с новыми людьми, а Лена знакомится с новыми людьми редко."
"Я собираюсь купить машину, а ты _ продать _.","Я собираюсь купить машину, а ты собираешься продать машину."
"Мне надо убрать гостиную сегодня, а тебе _ завтра.","Мне надо убрать гостиную сегодня, а тебе надо убрать гостиную завтра."
"Отец не ест зелёный лук, _ только красный _.","Отец не ест зелёный лук, отец ест только красный лук."
"Они сейчас говорят на украинском языке, а _ не _ русском _.","Они сейчас говорят на украинском языке, а они не говорят на русском языке."
"Мы пришли сюда, потому что мы хотели _.","Мы пришли сюда, потому что мы хотели прийти сюда."
"Он вдруг бросился и больно укусил мне палец, не знаю за что _.","Он вдруг бросился и больно укусил мне палец, не знаю за что он вдруг бросился и больно укусил мне палец."
"Вчера я не познакомил Машу с Сашей, но _ думаю, что завтра _ познакомлю _.","Вчера я не познакомил Машу с Сашей, но я думаю, что завтра я познакомлю Машу с Сашей."
"Они могут бегать быстрее, чем я _.","Они могут бегать быстрее, чем я могу бегать."
"Максиму нравится чай, а Вере _ кофе.","Максиму нравится чай, а Вере нравится кофе."
"Ваня сказала, что Вика тебя позвала гулять, а я думал, что _ меня _.","Ваня сказала, что Вика тебя позвала гулять, а я думал, что Вика меня позвала гулять."
